file,ref
data/wav/hu/hu03_1914.wav,"Músa delszállat, de kutatást kimutatta, hogy egyenatik a éváltosatorságnak, két variációja van rajtett és kifeyezet."
data/wav/hu/hu07_1902.wav,"Először a grét jármúthban levő, James Pagetkor, Hans Bankezálték."
data/wav/hu/hu06_1893.wav,"A sandalben, a világletni, hogy a mondjuk bevezete, a mej, a tennedre port dolnyos, van kilomét elre nyóllibbe, bondro desz, és mindj a hátor szárgába."
data/wav/hu/hu08_1793.wav,"Ha nincs koltástokva a vüttélyek inkuttakon való vettettéhezhev tácsonítva aztemét. Mert akár már katult, kezdkön savo, és illes konarokjállamzik az utató."
data/wav/hu/hu09_1996.wav,"Az aústral, mitcselgörlé, tiszen egyedik helyen végzett a felfi álló super-given. Oldrig, jelinek, csak veresensző, tiszenhatorik ratt a felfi lő super-gis szamban."
data/wav/hu/hu02_1874.wav,"Néhányen új vették az a volt, de szokra a hitték az elenkezővéd, hogy a napráncsar a fölkszerűföről, belejert fánap volt. Sőt a több egy csilerot is."
data/wav/hu/hu1.wav,
data/wav/hu/hu10_1756.wav,"Késő was ánap, a fettesszut állomak állnak állnak áltan áltran, egy a sajtókik kár által, kőzvakint ötnönödkózatban kérantett, az Amerikai katonai egy ségek elhaitják szingrját."
data/wav/hu/hu04_1868.wav,"A spektrumásik voltalán volakni egy felis már hataflán stemény alakul, aki úgy érté, hogy menten, a csopot által létre az a dolgot meg kell váltőtt a nyagy és a szelettávák értem."
data/wav/hu/hu01_1742.wav,"Hónkongnáver, a hónkongsi getrok kapta, és öt a helyesoktóriszt a számára, a fítjalan követ bontjában áll."
data/wav/hu/hu05_1820.wav,"ott emberahon abság már a számit dolgép képernyőjere nyörnak ütensztök, és oszám kerülnak egy helyező közelépe."
